county_fips,county_nm,county_pop,total_bg_pop,pop_11,pop_12,pop_13,pop_21,pop_22,pop_23,pop_31,pop_32,pop_33,pop_41,pop_42,pop_43,urban_suburban_pop,rural_pop,urban_suburban_perc,rural_perc,metro_fips,metro_nm,city_name,city_pop,city_contains_small_urban,city_contains_mid_sized_urban,city_contains_large_urban,MSA_large_urban,MSA_mid_sized_urban,locale_type
4027,"Yuma County, Arizona",213221,207420.552451646,,,85013.5057682641,,33086.5757014729,,11664.8381439716,21179.2143102137,,45551.8719528689,9384.95537314366,1539.59120171151,118100.081469737,56476.418527724,0.569375021297701,0.272279761384252,49740,"Yuma, AZ","Yuma city, Arizona",100858,0,1,0,0,1,Mid-sized urban
5001,"Arkansas County, Arkansas",16307,16772.9999227857,,,,,,,,,5805.59795280118,2301.00038147233,1633.87723144725,7032.52435706495,0,10967.4019699845,0,0.653872415219271,,,,,,,,0,0,Rural
5003,"Ashley County, Arkansas",18262,18722.0000082675,,,,,,,,,3405.30912228215,5691.4219269231,6112.86654656474,3512.40241249752,0,15316.6908859854,0,0.81811189398684,,,,,,,,0,0,Rural
5005,"Baxter County, Arkansas",42875,42150.0000141262,,,,,,,,,9774.77531812904,17522.3964152524,13032.8090618797,1820.01921886508,0,32375.2246959972,0,0.768095484819618,,,,,,,,0,0,Rural
5007,"Benton County, Arkansas",311013,294540.998159372,,,113589.512715877,53816.9987702647,,,2570.328593674,12378.400798635,,91153.823951553,21031.9333293684,,167406.511486141,112185.757280921,0.568364039411451,0.380883333668271,22220,"Fayetteville-Springdale-Rogers, AR","Rogers city, Arkansas",74035,1,0,0,0,1,Suburban
5009,"Boone County, Arkansas",38530,37895.9999975538,,,,,,,,,10116.7658005391,8549.34027557782,15082.7163018563,4147.17761958058,0,27779.2341970147,0,0.733038690067761,,,,,,,,0,0,Rural
5011,"Bradley County, Arkansas",10104,10354.000002148,,,,,,,,,716.16024795403,2657.36385465482,5519.01501704624,1461.46088249293,0,9637.83975419398,0,0.930832504558098,,,,,,,,0,0,Rural
5013,"Calhoun County, Arkansas",4641,4716.99999999647,,,,,,,,,,5.72832904321455,664.933683187168,4046.33798776609,0,4716.99999999647,0,1,,,,,,,,0,0,Rural
5015,"Carroll County, Arkansas",28814,28526.0000001141,,,,,,,,919.173187238587,,6057.24421252292,19108.5972706461,2440.98532970645,0,27606.8268128755,0,0.967777704997724,,,,,,,,0,0,Rural
5017,"Chicot County, Arkansas",9538,9996.99999935132,,,,,,,,,,60.7739068236384,1075.55791169877,8860.66818082891,0,9996.99999935132,0,1,,,,,,,,0,0,Rural
5019,"Clark County, Arkansas",21274,21378.0000045016,,,,,,,,6805.97568112522,,4391.08646688694,5781.15452099336,4399.78333549613,0,14572.0243233764,0,0.681636463668629,,,,,,,,0,0,Rural
5021,"Clay County, Arkansas",14201,14398.9999999982,,,,,,,,,,12.1742422419871,1326.50017762851,13060.3255801277,0,14398.9999999982,0,1,,,,,,,,0,0,Rural
5023,"Cleburne County, Arkansas",25445,25047.9999915218,,,,,,,,3677.63916510719,,6570.82575672082,12194.5148349599,2605.02023473395,0,21370.3608264146,0,0.853176334783137,,,,,,,,0,0,Rural
5025,"Cleveland County, Arkansas",7378,7491.0000000041,,,,,,,,,,,1935.63526129078,5555.36473871332,0,7491.0000000041,0,1,,,,,,,,0,0,Rural
5027,"Columbia County, Arkansas",22150,22526.9998746388,,,,,,,,0.097844243307146,8889.76366282732,4068.59525872879,7557.44940592425,2011.09370291511,0,13637.1383675682,0,0.605368599611928,,,,,,,,0,0,Rural
5029,"Conway County, Arkansas",21077,20871.999916812,,,,,,,,2891.73943432364,,5847.42640379815,11679.0313405558,453.802738134398,0,17980.2604824884,0,0.861453648627394,,,,,,,,0,0,Rural
5031,"Craighead County, Arkansas",113993,112096.999408445,,,63766.4147740854,,,299.343439347552,,,,38530.4972467343,9500.74394827775,,64065.7582134329,48031.2411950121,0.571520723583315,0.428479276416685,27860,"Jonesboro, AR","Jonesboro city, Arkansas",80650,1,0,0,0,0,Small urban
5033,"Crawford County, Arkansas",61891,60791.9994855497,,,,,21380.8004381051,,,,,27175.5396253493,12235.6594220953,,21380.8004381051,39411.1990474446,0.351704181784436,0.648295818215565,22900,"Fort Smith, AR-OK",,,,,,0,0,Small town
5035,"Crittenden County, Arkansas",47139,47608.9999985303,,,,31042.0347789372,,,,,,9700.32208867202,6866.64313092118,,31042.0347789372,16566.9652195932,0.652020306662509,0.347979693337491,32820,"Memphis, TN-MS-AR",,,,,,1,0,Suburban
5037,"Cross County, Arkansas",16420,16681.0000079861,,,,,,,,4788.76837067263,,4928.66946646964,6249.05717777284,714.504993070946,0,11892.2316373134,0,0.712920786021222,,,,,,,,0,0,Rural
5039,"Dallas County, Arkansas",6185,6351.00000000115,,,,,,,,,,,63.0668508443547,6287.9331491568,0,6351.00000000115,0,1,,,,,,,,0,0,Rural
5041,"Desha County, Arkansas",10479,11040.9999899615,,,,,,,,,1283.08272004451,1396.36738952173,2580.20907508903,5781.34080530624,0,9757.917269917,0,0.883789265355395,,,,,,,,0,0,Rural
5043,"Drew County, Arkansas",16945,17142.9999848282,,,,,,,,,5156.55290561921,4234.71969452334,6116.30577423453,1635.42161045115,0,11986.447079209,0,0.699203586876111,,,,,,,,0,0,Rural
